Name;ID;Class Type;Class Tier;Weakness;Flag;Exclusive User;Usable Weapons;Max Weapons;Level;Base HP;Base Str;Base Mag;Base Dex;Base Spd;Base Lck;Base Def;Base Res;Base Bld;Base Vision;Base Mov;HP Cap;Str Cap;Mag Cap;Dex Cap;Spd Cap;Lck Cap;Def Cap;Res Cap;Bld Cap;Vision Cap;Mov Cap;HP Growth;Str Growth;Mag Growth;Dex Growth;Spd Growth;Lck Growth;Def Growth;Res Growth;Bld Growth;Promotion 1;Promotion 2;Promotes from;Level 5 Skill;Skill Description;Maddening Skill;Skill Description;Class Description
---;JID_不明;---;Base;;NPC;;;;0;1;0;0;0;0;0;0;0;0;3;1;40;40;40;40;40;40;40;40;20;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;---
Dragon Child;JID_神竜ノ子;Dragon;Base;Dragon;Exclusive;Alear;Sword;Sword B;0;22;6;0;2;7;2;5;3;4;3;4;68;41;25;36;43;35;35;25;13;20;20;10;10;0;10;15;5;10;10;5;Divine Dragon;---;---;---;---;---;---;A descendant of a line of dragons going back to ancient days. Can use swords unique to the Divine Dragon.
Dragon Child;JID_M000_神竜ノ子;Dragon;Base;Dragon;NPC;;Sword;Sword A;0;22;6;0;2;7;2;5;3;4;3;4;68;41;25;36;43;35;35;25;13;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;A descendant of a line of dragons going back to ancient days. Can use swords unique to the Divine Dragon.
Divine Dragon;JID_神竜ノ王;Dragon;Advanced;Dragon;Exclusive;Alear;Sword, Arts;Sword A, Arts B;20;24;8;1;4;8;3;6;5;7;3;5;68;41;25;36;43;35;35;25;13;20;20;10;10;0;10;15;10;15;15;5;---;---;Dragon Child;Divine Spirit;Unit's engage meter is shortened one step.;---;---;Keeper of the power of the great reigning dragon. Uses Divine Dragon swords and martial arts.
Fell Child;JID_邪竜ノ子;Dragon;Special;Fell Dragon;NPC;;Sword;Sword A;20;24;8;1;4;8;3;6;5;7;3;5;68;41;25;36;43;35;35;25;13;20;20;0;0;0;0;0;0;0;0;0;---;---;---;Dark Spirit;Inflicts -1 to the engage meters of foes within 2 spaces at the start of the turn.;---;---;Mindless minion of the Fell Dragon. Uses powerful sword techniques.
Divine Dragon;JID_M002_神竜ノ王;Dragon;Special;Dragon;NPC;;Sword, Arts;Sword A, Arts B;5;24;8;1;4;8;3;6;5;7;3;5;68;41;25;36;43;35;35;25;13;20;20;0;0;0;0;0;0;0;0;0;---;---;---;Divine Spirit;Unit's engage meter is shortened one step.;---;---;Keeper of the power of the great reigning dragon. Uses Divine Dragon swords and martial arts.
Fell Child;JID_邪竜ノ娘;Dragon;Special;Fell Dragon;Exclusive;Veyle;Dagger, Tome;Dagger B, Tome S;0;20;3;7;4;5;3;2;7;4;3;5;48;35;48;36;33;30;25;41;11;20;20;10;10;25;10;5;0;10;25;0;---;---;---;Fell Spirit;At the start of each turn, unit's engage meter is filled by 1.;---;---;Inheritor of the blood of the Fell Dragon. Excels in Fell skills and powerful dark magic.
Fell Child;JID_邪竜ノ娘_敵;Dragon;Special;Fell Dragon;NPC;;Dagger, Tome;Dagger B, Tome S;0;20;3;7;4;5;3;2;7;4;3;5;50;33;34;30;35;25;27;34;13;20;20;0;0;0;0;0;0;0;0;0;---;---;---;Dark Spirit;Inflicts -1 to the engage meters of foes within 2 spaces at the start of the turn.;---;---;Inheritor of the blood of the Fell Dragon. Excels in Fell skills and powerful dark magic.
Fell Monarch;JID_邪竜ノ王;Dragon;Special;Fell Dragon;NPC;;Dagger, Tome;Tome S;0;22;4;10;5;6;4;3;9;5;3;5;65;35;39;27;36;28;34;38;18;20;20;0;0;0;0;0;0;0;0;0;---;---;---;Dark Spirit;Inflicts -1 to the engage meters of foes within 2 spaces at the start of the turn.;---;---;One who seeks to rule the world as a tyrant. Wields the dark arts to cause maximum destruction.
Fell Monarch;JID_M000_邪竜ノ王;Dragon;Base;Fell Dragon;NPC;;Dagger, Tome;Tome S;0;22;4;10;5;6;4;3;9;5;3;2;65;35;39;27;36;28;34;38;18;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;One who seeks to rule the world as a tyrant. Wields the dark arts to cause maximum destruction.
