Name;ID;Description;SP
HP +5;SID_ＨＰ＋５;Grants max HP+5.;300
HP +7;SID_ＨＰ＋７;Grants max HP+7.;500
HP +10;SID_ＨＰ＋１０;Grants max HP+10.;1000
HP +12;SID_ＨＰ＋１２;Grants max HP+12.;2000
HP +15;SID_ＨＰ＋１５;Grants max HP+15.;3000
Strength +1;SID_力＋１;Grants Str+1.;500
Strength +2;SID_力＋２;Grants Str+2.;1000
Strength +3;SID_力＋３;Grants Str+3.;3000
Strength +4;SID_力＋４;Grants Str+4.;4000
Strength +5;SID_力＋５;Grants Str+5.;5000
Strength +6;SID_力＋６;Grants Str+6.;6000
Dexterity +1;SID_技＋１;Grants Dex+1.;100
Dexterity +2;SID_技＋２;Grants Dex+2.;300
Dexterity +3;SID_技＋３;Grants Dex+3.;500
Dexterity +4;SID_技＋４;Grants Dex+4.;1000
Dexterity +5;SID_技＋５;Grants Dex+5.;2000
Speed +1;SID_速さ＋１;Grants Spd+1.;100
Speed +2;SID_速さ＋２;Grants Spd+2.;300
Speed +3;SID_速さ＋３;Grants Spd+3.;500
Speed +4;SID_速さ＋４;Grants Spd+4.;1000
Speed +5;SID_速さ＋５;Grants Spd+5.;2000
Luck +2;SID_幸運＋２;Grants Lck+2.;100
Luck +4;SID_幸運＋４;Grants Lck+4.;300
Luck +6;SID_幸運＋６;Grants Lck+6.;500
Luck +8;SID_幸運＋８;Grants Lck+8.;1000
Luck +10;SID_幸運＋１０;Grants Lck+10.;2000
Luck +12;SID_幸運＋１２;Grants Lck+12.;3000
Defense +1;SID_守備＋１;Grants Def+1.;100
Defense +2;SID_守備＋２;Grants Def+2.;300
Defense +3;SID_守備＋３;Grants Def+3.;500
Defense +4;SID_守備＋４;Grants Def+4.;1000
Defense +5;SID_守備＋５;Grants Def+5.;2000
Magic +2;SID_魔力＋２;Grants Mag+2.;1000
Magic +3;SID_魔力＋３;Grants Mag+3.;3000
Magic +4;SID_魔力＋４;Grants Mag+4.;4000
Magic +5;SID_魔力＋５;Grants Mag+5.;5000
Resistance +2;SID_魔防＋２;Grants Res+2.;300
Resistance +3;SID_魔防＋３;Grants Res+3.;500
Resistance +4;SID_魔防＋４;Grants Res+4.;1000
Resistance +5;SID_魔防＋５;Grants Res+5.;2000
Build +3;SID_体格＋３;Grants Bld+3.;500
Build +4;SID_体格＋４;Grants Bld+4.;1000
Build +5;SID_体格＋５;Grants Bld+5.;2000
Movement +1;SID_移動＋１;Grants Mov+1.;0
